URL,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=8166890c31ae1c53,"Android 신입/경력 정규직, 계약직",비버소프트 성남 분당구,,"개발팀 [자격요건] 경력사항: 신입, 경력(2년 이상 ) 학력사항: 학력무관 직무기술: php개발, PYTHON, 앱 백엔드 개발자 (Django/MySQL/AWS), MySQL 1 명 근무조건 고용형태: 정규직..."
https://kr.indeed.com/viewjob?jk=56add096e14a7879,AI 연구 및 개발 직군 모집,넷마블 서울 구로구,,"웹 서비스 구축 등 자격요건 - Python 에 능숙하고 C/C++ 혹은... 위한 클라우드/ Rest-API / 웹서비스 구축 등 자격요건 - Python에 능숙하고 C/C++ , C#등 언어에 대한 활용능력 - 딥러닝 프레..."
https://kr.indeed.com/viewjob?jk=403dca14b7d396fa,(주)엘솔루 영업직군,㈜엘솔루 서울 서초구,,통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>음성인식|인터넷·IT·통신·모바일·게임>빅데이터·AI...
https://kr.indeed.com/viewjob?jk=247d49c1cf4deea4,데이터 분석 및 데이터 마트 구축,녹십자헬스케어 서울 영등포구,,이터 분석지원자격 1. 대졸 이상 학력 소지자 인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>데이터분석|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=c5f5bde0edbca656,[주식회사 엠아이제이] H/W 개발 정규직 사원,엠아이제이 강원도 춘천,"연봉 26,000,000원 - 28,000,000원","가능한 자 필요사항 -신입 및 경력 -전자 회로 해석 가능자 -펌웨어 프로그래밍 언어 경험(C, Java, Python, C++, C#c Visual Basic, JavaScript 등) 학력 -초대졸/대졸 이상 우대사항..."
https://kr.indeed.com/viewjob?jk=f90c6d60322757d3,[AI Service] Windows 및 모바일 개발자 모집,엔씨소프트 2.7 성남 판교역,,"우대사항 - NDK 혹은 Objective-C 개발 경험 - Opensource를 활용한 프로젝트 경험 - Python, nodejs 등 스크립트 경험 제출서류 개발 경험 프로젝트 포트폴리오(선택사항) 전형단계 서류전형 1차..."
https://kr.indeed.com/viewjob?jk=9d05b48e020daca2,Solutions Architect II,Amazon Web Services Korea LLC 서울,,"languages... Ruby, Python and Node... 현대 개발 언어에 대한 실무적 지식: 루비 (Ruby), 파이썬 ( Python), Node.js 등 · 개발자 및 IT 운영자 대상의 신기술 전파에..."
https://kr.indeed.com/viewjob?jk=f2cca1a985038942,[EY한영] 감사본부 파생상품평가부서(DVC) 경력직 모집,Ernst & Young 4.0 대한민국,,"우대사항 - 금융공학/수학/컴퓨터 관련 전공자 - 이자율 파생상품 평가관련 지식 보유자 - C++/C, Python, VBA, QuantLib 활용 개발 유경험자 * 전형절차 - 1차 서류 심사 - 2차 실무 면접..."
https://kr.indeed.com/viewjob?jk=bb83a9ca56d8a05c,[리니지2] MMORPG 서버 프로그래머 모집,엔씨소프트 2.7 성남 판교역,,Windows Programming - Web Programming - Script languages ( Python 등) 제출서류 포트폴리오(필수) 전형단계 서류전형 1차 면접 NC TEST 2차 면접 처우협의 입사 도움말...
https://kr.indeed.com/viewjob?jk=d0ca27a97ddf91f9,엔미디어플랫폼 데이터베이스 관리자 (DBA) 인재 안내,리더스소프트 성남 분당구,,"운영 가능한 분 - DB관련 자격증 보유한 분 - 운영 자동화 스크립트(PowerShell, Shell, Python) 작성 가능한 분 - MongoDB, Redis에 관심 있으신 분 기타사항 - 서류 접수 이후 4주 이내로..."
